Row_Number,Timestamp,Session_ID,Frame_ID,Hand_Side,Current_State,Velocity_Px,Fingers_In_Zone,In_Board_Zone_Bool,Pos_X,Pos_Y
1,0.035,20260206_123457,1,Right,Transport,0.0,0,False,1101,259
2,0.104,20260206_123457,3,Right,Transport,43.6,0,False,1087,343
3,0.173,20260206_123457,5,Right,Transport,30.5,0,False,1058,362
4,0.242,20260206_123457,7,Right,Transport,21.8,0,False,1047,381
5,0.311,20260206_123457,9,Right,Transport,12.3,0,False,1057,393
6,0.380,20260206_123457,11,Right,Transport,8.7,0,False,1056,405
7,0.449,20260206_123457,13,Right,Transport,7.4,0,False,1042,403
8,0.518,20260206_123457,15,Left,Transport,0.0,0,False,171,363
9,0.518,20260206_123457,15,Right,Transport,7.7,0,False,1047,412
10,0.587,20260206_123457,17,Left,Transport,4.3,0,False,179,360
11,0.587,20260206_123457,17,Right,Transport,6.8,0,False,1053,419
12,0.657,20260206_123457,19,Left,Transport,4.5,0,False,182,352
13,0.657,20260206_123457,19,Right,Transport,5.8,0,False,1050,413
14,0.726,20260206_123457,21,Left,Transport,4.4,0,False,189,352
15,0.726,20260206_123457,21,Right,Transport,5.8,0,False,1055,409
16,0.795,20260206_123457,23,Left,Transport,4.6,0,False,196,354
17,0.795,20260206_123457,23,Right,Transport,4.2,0,False,1063,409
18,0.864,20260206_123457,25,Left,Transport,3.7,0,False,200,355
19,0.864,20260206_123457,25,Right,Transport,4.1,0,False,1067,404
20,0.933,20260206_123457,27,Left,Transport,3.8,0,False,197,351
21,0.933,20260206_123457,27,Right,Transport,3.9,0,False,1076,404
22,1.002,20260206_123457,29,Left,Transport,5.6,0,False,182,360
23,1.002,20260206_123457,29,Right,Transport,5.3,0,False,1092,400
24,1.071,20260206_123457,31,Left,Transport,9.7,0,False,161,372
25,1.071,20260206_123457,31,Right,Transport,8.3,0,False,1112,395
26,1.140,20260206_123457,33,Left,Transport,14.0,0,False,132,373
